filename,filepath,ingredient_type,ingredient_name,freshness_label
0931.png,data/fruit/apple/FreshApple/0931.png,fruit,apple,fresh
0925.png,data/fruit/apple/FreshApple/0925.png,fruit,apple,fresh
0919.png,data/fruit/apple/FreshApple/0919.png,fruit,apple,fresh
0528.png,data/fruit/apple/FreshApple/0528.png,fruit,apple,fresh
0514.png,data/fruit/apple/FreshApple/0514.png,fruit,apple,fresh
0272.png,data/fruit/apple/FreshApple/0272.png,fruit,apple,fresh
0266.png,data/fruit/apple/FreshApple/0266.png,fruit,apple,fresh
0500.png,data/fruit/apple/FreshApple/0500.png,fruit,apple,fresh
0299.png,data/fruit/apple/FreshApple/0299.png,fruit,apple,fresh
0270.png,data/fruit/apple/FreshApple/0270.png,fruit,apple,fresh
0516.png,data/fruit/apple/FreshApple/0516.png,fruit,apple,fresh
0502.png,data/fruit/apple/FreshApple/0502.png,fruit,apple,fresh
0264.png,data/fruit/apple/FreshApple/0264.png,fruit,apple,fresh
0258.png,data/fruit/apple/FreshApple/0258.png,fruit,apple,fresh
0933.png,data/fruit/apple/FreshApple/0933.png,fruit,apple,fresh
0099.png,data/fruit/apple/FreshApple/0099.png,fruit,apple,fresh
0927.png,data/fruit/apple/FreshApple/0927.png,fruit,apple,fresh
0714.png,data/fruit/apple/FreshApple/0714.png,fruit,apple,fresh
0072.png,data/fruit/apple/FreshApple/0072.png,fruit,apple,fresh
0066.png,data/fruit/apple/FreshApple/0066.png,fruit,apple,fresh
0700.png,data/fruit/apple/FreshApple/0700.png,fruit,apple,fresh
0728.png,data/fruit/apple/FreshApple/0728.png,fruit,apple,fresh
0847.png,data/fruit/apple/FreshApple/0847.png,fruit,apple,fresh
0853.png,data/fruit/apple/FreshApple/0853.png,fruit,apple,fresh
0660.png,data/fruit/apple/FreshApple/0660.png,fruit,apple,fresh
0106.png,data/fruit/apple/FreshApple/0106.png,fruit,apple,fresh
0112.png,data/fruit/apple/FreshApple/0112.png,fruit,apple,fresh
0674.png,data/fruit/apple/FreshApple/0674.png,fruit,apple,fresh
0884.png,data/fruit/apple/FreshApple/0884.png,fruit,apple,fresh
0648.png,data/fruit/apple/FreshApple/0648.png,fruit,apple,fresh
0890.png,data/fruit/apple/FreshApple/0890.png,fruit,apple,fresh
0489.png,data/fruit/apple/FreshApple/0489.png,fruit,apple,fresh
0304.png,data/fruit/apple/FreshApple/0304.png,fruit,apple,fresh
0462.png,data/fruit/apple/FreshApple/0462.png,fruit,apple,fresh
0476.png,data/fruit/apple/FreshApple/0476.png,fruit,apple,fresh
0310.png,data/fruit/apple/FreshApple/0310.png,fruit,apple,fresh
0338.png,data/fruit/apple/FreshApple/0338.png,fruit,apple,fresh
0339.png,data/fruit/apple/FreshApple/0339.png,fruit,apple,fresh
0477.png,data/fruit/apple/FreshApple/0477.png,fruit,apple,fresh
0311.png,data/fruit/apple/FreshApple/0311.png,fruit,apple,fresh
0305.png,data/fruit/apple/FreshApple/0305.png,fruit,apple,fresh
0463.png,data/fruit/apple/FreshApple/0463.png,fruit,apple,fresh
0488.png,data/fruit/apple/FreshApple/0488.png,fruit,apple,fresh
0891.png,data/fruit/apple/FreshApple/0891.png,fruit,apple,fresh
0649.png,data/fruit/apple/FreshApple/0649.png,fruit,apple,fresh
0885.png,data/fruit/apple/FreshApple/0885.png,fruit,apple,fresh
0113.png,data/fruit/apple/FreshApple/0113.png,fruit,apple,fresh
0675.png,data/fruit/apple/FreshApple/0675.png,fruit,apple,fresh
0661.png,data/fruit/apple/FreshApple/0661.png,fruit,apple,fresh
0107.png,data/fruit/apple/FreshApple/0107.png,fruit,apple,fresh
0852.png,data/fruit/apple/FreshApple/0852.png,fruit,apple,fresh
0846.png,data/fruit/apple/FreshApple/0846.png,fruit,apple,fresh
0729.png,data/fruit/apple/FreshApple/0729.png,fruit,apple,fresh
0067.png,data/fruit/apple/FreshApple/0067.png,fruit,apple,fresh
0701.png,data/fruit/apple/FreshApple/0701.png,fruit,apple,fresh
0715.png,data/fruit/apple/FreshApple/0715.png,fruit,apple,fresh
0073.png,data/fruit/apple/FreshApple/0073.png,fruit,apple,fresh
0098.png,data/fruit/apple/FreshApple/0098.png,fruit,apple,fresh
0926.png,data/fruit/apple/FreshApple/0926.png,fruit,apple,fresh
0932.png,data/fruit/apple/FreshApple/0932.png,fruit,apple,fresh
0259.png,data/fruit/apple/FreshApple/0259.png,fruit,apple,fresh
0503.png,data/fruit/apple/FreshApple/0503.png,fruit,apple,fresh
0265.png,data/fruit/apple/FreshApple/0265.png,fruit,apple,fresh
0271.png,data/fruit/apple/FreshApple/0271.png,fruit,apple,fresh
0517.png,data/fruit/apple/FreshApple/0517.png,fruit,apple,fresh
0249.png,data/fruit/apple/FreshApple/0249.png,fruit,apple,fresh
0513.png,data/fruit/apple/FreshApple/0513.png,fruit,apple,fresh
0275.png,data/fruit/apple/FreshApple/0275.png,fruit,apple,fresh
0261.png,data/fruit/apple/FreshApple/0261.png,fruit,apple,fresh
0507.png,data/fruit/apple/FreshApple/0507.png,fruit,apple,fresh
0088.png,data/fruit/apple/FreshApple/0088.png,fruit,apple,fresh
0936.png,data/fruit/apple/FreshApple/0936.png,fruit,apple,fresh
0922.png,data/fruit/apple/FreshApple/0922.png,fruit,apple,fresh
0739.png,data/fruit/apple/FreshApple/0739.png,fruit,apple,fresh
0077.png,data/fruit/apple/FreshApple/0077.png,fruit,apple,fresh
0711.png,data/fruit/apple/FreshApple/0711.png,fruit,apple,fresh
0705.png,data/fruit/apple/FreshApple/0705.png,fruit,apple,fresh
0063.png,data/fruit/apple/FreshApple/0063.png,fruit,apple,fresh
0842.png,data/fruit/apple/FreshApple/0842.png,fruit,apple,fresh
0856.png,data/fruit/apple/FreshApple/0856.png,fruit,apple,fresh
0659.png,data/fruit/apple/FreshApple/0659.png,fruit,apple,fresh
0881.png,data/fruit/apple/FreshApple/0881.png,fruit,apple,fresh
0895.png,data/fruit/apple/FreshApple/0895.png,fruit,apple,fresh
0103.png,data/fruit/apple/FreshApple/0103.png,fruit,apple,fresh
0665.png,data/fruit/apple/FreshApple/0665.png,fruit,apple,fresh
0671.png,data/fruit/apple/FreshApple/0671.png,fruit,apple,fresh
0117.png,data/fruit/apple/FreshApple/0117.png,fruit,apple,fresh
0498.png,data/fruit/apple/FreshApple/0498.png,fruit,apple,fresh
0329.png,data/fruit/apple/FreshApple/0329.png,fruit,apple,fresh
0467.png,data/fruit/apple/FreshApple/0467.png,fruit,apple,fresh
0301.png,data/fruit/apple/FreshApple/0301.png,fruit,apple,fresh
0315.png,data/fruit/apple/FreshApple/0315.png,fruit,apple,fresh
0473.png,data/fruit/apple/FreshApple/0473.png,fruit,apple,fresh
0314.png,data/fruit/apple/FreshApple/0314.png,fruit,apple,fresh
0472.png,data/fruit/apple/FreshApple/0472.png,fruit,apple,fresh
0466.png,data/fruit/apple/FreshApple/0466.png,fruit,apple,fresh
0300.png,data/fruit/apple/FreshApple/0300.png,fruit,apple,fresh
0328.png,data/fruit/apple/FreshApple/0328.png,fruit,apple,fresh
0499.png,data/fruit/apple/FreshApple/0499.png,fruit,apple,fresh
0670.png,data/fruit/apple/FreshApple/0670.png,fruit,apple,fresh
0116.png,data/fruit/apple/FreshApple/0116.png,fruit,apple,fresh
0102.png,data/fruit/apple/FreshApple/0102.png,fruit,apple,fresh
0664.png,data/fruit/apple/FreshApple/0664.png,fruit,apple,fresh
0894.png,data/fruit/apple/FreshApple/0894.png,fruit,apple,fresh
0880.png,data/fruit/apple/FreshApple/0880.png,fruit,apple,fresh
0658.png,data/fruit/apple/FreshApple/0658.png,fruit,apple,fresh
0857.png,data/fruit/apple/FreshApple/0857.png,fruit,apple,fresh
0843.png,data/fruit/apple/FreshApple/0843.png,fruit,apple,fresh
0704.png,data/fruit/apple/FreshApple/0704.png,fruit,apple,fresh
0062.png,data/fruit/apple/FreshApple/0062.png,fruit,apple,fresh
0076.png,data/fruit/apple/FreshApple/0076.png,fruit,apple,fresh
0710.png,data/fruit/apple/FreshApple/0710.png,fruit,apple,fresh
0738.png,data/fruit/apple/FreshApple/0738.png,fruit,apple,fresh
0923.png,data/fruit/apple/FreshApple/0923.png,fruit,apple,fresh
0089.png,data/fruit/apple/FreshApple/0089.png,fruit,apple,fresh
0937.png,data/fruit/apple/FreshApple/0937.png,fruit,apple,fresh
0260.png,data/fruit/apple/FreshApple/0260.png,fruit,apple,fresh
0506.png,data/fruit/apple/FreshApple/0506.png,fruit,apple,fresh
0512.png,data/fruit/apple/FreshApple/0512.png,fruit,apple,fresh
0274.png,data/fruit/apple/FreshApple/0274.png,fruit,apple,fresh
0248.png,data/fruit/apple/FreshApple/0248.png,fruit,apple,fresh
0289.png,data/fruit/apple/FreshApple/0289.png,fruit,apple,fresh
0538.png,data/fruit/apple/FreshApple/0538.png,fruit,apple,fresh
0504.png,data/fruit/apple/FreshApple/0504.png,fruit,apple,fresh
0262.png,data/fruit/apple/FreshApple/0262.png,fruit,apple,fresh
0276.png,data/fruit/apple/FreshApple/0276.png,fruit,apple,fresh
0510.png,data/fruit/apple/FreshApple/0510.png,fruit,apple,fresh
0921.png,data/fruit/apple/FreshApple/0921.png,fruit,apple,fresh
0935.png,data/fruit/apple/FreshApple/0935.png,fruit,apple,fresh
0909.png,data/fruit/apple/FreshApple/0909.png,fruit,apple,fresh
0048.png,data/fruit/apple/FreshApple/0048.png,fruit,apple,fresh
0060.png,data/fruit/apple/FreshApple/0060.png,fruit,apple,fresh
0706.png,data/fruit/apple/FreshApple/0706.png,fruit,apple,fresh
0712.png,data/fruit/apple/FreshApple/0712.png,fruit,apple,fresh
0074.png,data/fruit/apple/FreshApple/0074.png,fruit,apple,fresh
0855.png,data/fruit/apple/FreshApple/0855.png,fruit,apple,fresh
0841.png,data/fruit/apple/FreshApple/0841.png,fruit,apple,fresh
0699.png,data/fruit/apple/FreshApple/0699.png,fruit,apple,fresh
0869.png,data/fruit/apple/FreshApple/0869.png,fruit,apple,fresh
0128.png,data/fruit/apple/FreshApple/0128.png,fruit,apple,fresh
0896.png,data/fruit/apple/FreshApple/0896.png,fruit,apple,fresh
0882.png,data/fruit/apple/FreshApple/0882.png,fruit,apple,fresh
0114.png,data/fruit/apple/FreshApple/0114.png,fruit,apple,fresh
0672.png,data/fruit/apple/FreshApple/0672.png,fruit,apple,fresh
0666.png,data/fruit/apple/FreshApple/0666.png,fruit,apple,fresh
0100.png,data/fruit/apple/FreshApple/0100.png,fruit,apple,fresh
0458.png,data/fruit/apple/FreshApple/0458.png,fruit,apple,fresh
0470.png,data/fruit/apple/FreshApple/0470.png,fruit,apple,fresh
0316.png,data/fruit/apple/FreshApple/0316.png,fruit,apple,fresh
0302.png,data/fruit/apple/FreshApple/0302.png,fruit,apple,fresh
0464.png,data/fruit/apple/FreshApple/0464.png,fruit,apple,fresh
0303.png,data/fruit/apple/FreshApple/0303.png,fruit,apple,fresh
0465.png,data/fruit/apple/FreshApple/0465.png,fruit,apple,fresh
0471.png,data/fruit/apple/FreshApple/0471.png,fruit,apple,fresh
0317.png,data/fruit/apple/FreshApple/0317.png,fruit,apple,fresh
0459.png,data/fruit/apple/FreshApple/0459.png,fruit,apple,fresh
0667.png,data/fruit/apple/FreshApple/0667.png,fruit,apple,fresh
0101.png,data/fruit/apple/FreshApple/0101.png,fruit,apple,fresh
0115.png,data/fruit/apple/FreshApple/0115.png,fruit,apple,fresh
0673.png,data/fruit/apple/FreshApple/0673.png,fruit,apple,fresh
0883.png,data/fruit/apple/FreshApple/0883.png,fruit,apple,fresh
0129.png,data/fruit/apple/FreshApple/0129.png,fruit,apple,fresh
0897.png,data/fruit/apple/FreshApple/0897.png,fruit,apple,fresh
0868.png,data/fruit/apple/FreshApple/0868.png,fruit,apple,fresh
0698.png,data/fruit/apple/FreshApple/0698.png,fruit,apple,fresh
0840.png,data/fruit/apple/FreshApple/0840.png,fruit,apple,fresh
0854.png,data/fruit/apple/FreshApple/0854.png,fruit,apple,fresh
0713.png,data/fruit/apple/FreshApple/0713.png,fruit,apple,fresh
0075.png,data/fruit/apple/FreshApple/0075.png,fruit,apple,fresh
0061.png,data/fruit/apple/FreshApple/0061.png,fruit,apple,fresh
0707.png,data/fruit/apple/FreshApple/0707.png,fruit,apple,fresh
0049.png,data/fruit/apple/FreshApple/0049.png,fruit,apple,fresh
0908.png,data/fruit/apple/FreshApple/0908.png,fruit,apple,fresh
0934.png,data/fruit/apple/FreshApple/0934.png,fruit,apple,fresh
0920.png,data/fruit/apple/FreshApple/0920.png,fruit,apple,fresh
0277.png,data/fruit/apple/FreshApple/0277.png,fruit,apple,fresh
0511.png,data/fruit/apple/FreshApple/0511.png,fruit,apple,fresh
0505.png,data/fruit/apple/FreshApple/0505.png,fruit,apple,fresh
0263.png,data/fruit/apple/FreshApple/0263.png,fruit,apple,fresh
0539.png,data/fruit/apple/FreshApple/0539.png,fruit,apple,fresh
0288.png,data/fruit/apple/FreshApple/0288.png,fruit,apple,fresh
0589.png,data/fruit/apple/FreshApple/0589.png,fruit,apple,fresh
0562.png,data/fruit/apple/FreshApple/0562.png,fruit,apple,fresh
0204.png,data/fruit/apple/FreshApple/0204.png,fruit,apple,fresh
0210.png,data/fruit/apple/FreshApple/0210.png,fruit,apple,fresh
0576.png,data/fruit/apple/FreshApple/0576.png,fruit,apple,fresh
0238.png,data/fruit/apple/FreshApple/0238.png,fruit,apple,fresh
0947.png,data/fruit/apple/FreshApple/0947.png,fruit,apple,fresh
0953.png,data/fruit/apple/FreshApple/0953.png,fruit,apple,fresh
0006.png,data/fruit/apple/FreshApple/0006.png,fruit,apple,fresh
0760.png,data/fruit/apple/FreshApple/0760.png,fruit,apple,fresh
0774.png,data/fruit/apple/FreshApple/0774.png,fruit,apple,fresh
0012.png,data/fruit/apple/FreshApple/0012.png,fruit,apple,fresh
0984.png,data/fruit/apple/FreshApple/0984.png,fruit,apple,fresh
0990.png,data/fruit/apple/FreshApple/0990.png,fruit,apple,fresh
0748.png,data/fruit/apple/FreshApple/0748.png,fruit,apple,fresh
0833.png,data/fruit/apple/FreshApple/0833.png,fruit,apple,fresh
0827.png,data/fruit/apple/FreshApple/0827.png,fruit,apple,fresh
0199.png,data/fruit/apple/FreshApple/0199.png,fruit,apple,fresh
0172.png,data/fruit/apple/FreshApple/0172.png,fruit,apple,fresh
0614.png,data/fruit/apple/FreshApple/0614.png,fruit,apple,fresh
0600.png,data/fruit/apple/FreshApple/0600.png,fruit,apple,fresh
0166.png,data/fruit/apple/FreshApple/0166.png,fruit,apple,fresh
0628.png,data/fruit/apple/FreshApple/0628.png,fruit,apple,fresh
0416.png,data/fruit/apple/FreshApple/0416.png,fruit,apple,fresh
0370.png,data/fruit/apple/FreshApple/0370.png,fruit,apple,fresh
0364.png,data/fruit/apple/FreshApple/0364.png,fruit,apple,fresh
0402.png,data/fruit/apple/FreshApple/0402.png,fruit,apple,fresh
0358.png,data/fruit/apple/FreshApple/0358.png,fruit,apple,fresh
0359.png,data/fruit/apple/FreshApple/0359.png,fruit,apple,fresh
0365.png,data/fruit/apple/FreshApple/0365.png,fruit,apple,fresh
0403.png,data/fruit/apple/FreshApple/0403.png,fruit,apple,fresh
0417.png,data/fruit/apple/FreshApple/0417.png,fruit,apple,fresh
0371.png,data/fruit/apple/FreshApple/0371.png,fruit,apple,fresh
0629.png,data/fruit/apple/FreshApple/0629.png,fruit,apple,fresh
0601.png,data/fruit/apple/FreshApple/0601.png,fruit,apple,fresh
0167.png,data/fruit/apple/FreshApple/0167.png,fruit,apple,fresh
0173.png,data/fruit/apple/FreshApple/0173.png,fruit,apple,fresh
0615.png,data/fruit/apple/FreshApple/0615.png,fruit,apple,fresh
0826.png,data/fruit/apple/FreshApple/0826.png,fruit,apple,fresh
0198.png,data/fruit/apple/FreshApple/0198.png,fruit,apple,fresh
0832.png,data/fruit/apple/FreshApple/0832.png,fruit,apple,fresh
0749.png,data/fruit/apple/FreshApple/0749.png,fruit,apple,fresh
0991.png,data/fruit/apple/FreshApple/0991.png,fruit,apple,fresh
0985.png,data/fruit/apple/FreshApple/0985.png,fruit,apple,fresh
0775.png,data/fruit/apple/FreshApple/0775.png,fruit,apple,fresh
0013.png,data/fruit/apple/FreshApple/0013.png,fruit,apple,fresh
0007.png,data/fruit/apple/FreshApple/0007.png,fruit,apple,fresh
0761.png,data/fruit/apple/FreshApple/0761.png,fruit,apple,fresh
0952.png,data/fruit/apple/FreshApple/0952.png,fruit,apple,fresh
0946.png,data/fruit/apple/FreshApple/0946.png,fruit,apple,fresh
0239.png,data/fruit/apple/FreshApple/0239.png,fruit,apple,fresh
0211.png,data/fruit/apple/FreshApple/0211.png,fruit,apple,fresh
0577.png,data/fruit/apple/FreshApple/0577.png,fruit,apple,fresh
0563.png,data/fruit/apple/FreshApple/0563.png,fruit,apple,fresh
0205.png,data/fruit/apple/FreshApple/0205.png,fruit,apple,fresh
0588.png,data/fruit/apple/FreshApple/0588.png,fruit,apple,fresh
0575.png,data/fruit/apple/FreshApple/0575.png,fruit,apple,fresh
0213.png,data/fruit/apple/FreshApple/0213.png,fruit,apple,fresh
0207.png,data/fruit/apple/FreshApple/0207.png,fruit,apple,fresh
0561.png,data/fruit/apple/FreshApple/0561.png,fruit,apple,fresh
0549.png,data/fruit/apple/FreshApple/0549.png,fruit,apple,fresh
0978.png,data/fruit/apple/FreshApple/0978.png,fruit,apple,fresh
0788.png,data/fruit/apple/FreshApple/0788.png,fruit,apple,fresh
0950.png,data/fruit/apple/FreshApple/0950.png,fruit,apple,fresh
0944.png,data/fruit/apple/FreshApple/0944.png,fruit,apple,fresh
0011.png,data/fruit/apple/FreshApple/0011.png,fruit,apple,fresh
0777.png,data/fruit/apple/FreshApple/0777.png,fruit,apple,fresh
0763.png,data/fruit/apple/FreshApple/0763.png,fruit,apple,fresh
0005.png,data/fruit/apple/FreshApple/0005.png,fruit,apple,fresh
0993.png,data/fruit/apple/FreshApple/0993.png,fruit,apple,fresh
0987.png,data/fruit/apple/FreshApple/0987.png,fruit,apple,fresh
0039.png,data/fruit/apple/FreshApple/0039.png,fruit,apple,fresh
0818.png,data/fruit/apple/FreshApple/0818.png,fruit,apple,fresh
0824.png,data/fruit/apple/FreshApple/0824.png,fruit,apple,fresh
0830.png,data/fruit/apple/FreshApple/0830.png,fruit,apple,fresh
0165.png,data/fruit/apple/FreshApple/0165.png,fruit,apple,fresh
0603.png,data/fruit/apple/FreshApple/0603.png,fruit,apple,fresh
0617.png,data/fruit/apple/FreshApple/0617.png,fruit,apple,fresh
0171.png,data/fruit/apple/FreshApple/0171.png,fruit,apple,fresh
0159.png,data/fruit/apple/FreshApple/0159.png,fruit,apple,fresh
0398.png,data/fruit/apple/FreshApple/0398.png,fruit,apple,fresh
0401.png,data/fruit/apple/FreshApple/0401.png,fruit,apple,fresh
0367.png,data/fruit/apple/FreshApple/0367.png,fruit,apple,fresh
0373.png,data/fruit/apple/FreshApple/0373.png,fruit,apple,fresh
0415.png,data/fruit/apple/FreshApple/0415.png,fruit,apple,fresh
0429.png,data/fruit/apple/FreshApple/0429.png,fruit,apple,fresh
0428.png,data/fruit/apple/FreshApple/0428.png,fruit,apple,fresh
0372.png,data/fruit/apple/FreshApple/0372.png,fruit,apple,fresh
0414.png,data/fruit/apple/FreshApple/0414.png,fruit,apple,fresh
0400.png,data/fruit/apple/FreshApple/0400.png,fruit,apple,fresh
0366.png,data/fruit/apple/FreshApple/0366.png,fruit,apple,fresh
0399.png,data/fruit/apple/FreshApple/0399.png,fruit,apple,fresh
0158.png,data/fruit/apple/FreshApple/0158.png,fruit,apple,fresh
0616.png,data/fruit/apple/FreshApple/0616.png,fruit,apple,fresh
0170.png,data/fruit/apple/FreshApple/0170.png,fruit,apple,fresh
0164.png,data/fruit/apple/FreshApple/0164.png,fruit,apple,fresh
0602.png,data/fruit/apple/FreshApple/0602.png,fruit,apple,fresh
0831.png,data/fruit/apple/FreshApple/0831.png,fruit,apple,fresh
0825.png,data/fruit/apple/FreshApple/0825.png,fruit,apple,fresh
0819.png,data/fruit/apple/FreshApple/0819.png,fruit,apple,fresh
0986.png,data/fruit/apple/FreshApple/0986.png,fruit,apple,fresh
0038.png,data/fruit/apple/FreshApple/0038.png,fruit,apple,fresh
0992.png,data/fruit/apple/FreshApple/0992.png,fruit,apple,fresh
0762.png,data/fruit/apple/FreshApple/0762.png,fruit,apple,fresh
0004.png,data/fruit/apple/FreshApple/0004.png,fruit,apple,fresh
0010.png,data/fruit/apple/FreshApple/0010.png,fruit,apple,fresh
0776.png,data/fruit/apple/FreshApple/0776.png,fruit,apple,fresh
0945.png,data/fruit/apple/FreshApple/0945.png,fruit,apple,fresh
0951.png,data/fruit/apple/FreshApple/0951.png,fruit,apple,fresh
0789.png,data/fruit/apple/FreshApple/0789.png,fruit,apple,fresh
0979.png,data/fruit/apple/FreshApple/0979.png,fruit,apple,fresh
0548.png,data/fruit/apple/FreshApple/0548.png,fruit,apple,fresh
0206.png,data/fruit/apple/FreshApple/0206.png,fruit,apple,fresh
0560.png,data/fruit/apple/FreshApple/0560.png,fruit,apple,fresh
0574.png,data/fruit/apple/FreshApple/0574.png,fruit,apple,fresh
0212.png,data/fruit/apple/FreshApple/0212.png,fruit,apple,fresh
0558.png,data/fruit/apple/FreshApple/0558.png,fruit,apple,fresh
0216.png,data/fruit/apple/FreshApple/0216.png,fruit,apple,fresh
0570.png,data/fruit/apple/FreshApple/0570.png,fruit,apple,fresh
0564.png,data/fruit/apple/FreshApple/0564.png,fruit,apple,fresh
0202.png,data/fruit/apple/FreshApple/0202.png,fruit,apple,fresh
0955.png,data/fruit/apple/FreshApple/0955.png,fruit,apple,fresh
0799.png,data/fruit/apple/FreshApple/0799.png,fruit,apple,fresh
0941.png,data/fruit/apple/FreshApple/0941.png,fruit,apple,fresh
0969.png,data/fruit/apple/FreshApple/0969.png,fruit,apple,fresh
0996.png,data/fruit/apple/FreshApple/0996.png,fruit,apple,fresh
0028.png,data/fruit/apple/FreshApple/0028.png,fruit,apple,fresh
0982.png,data/fruit/apple/FreshApple/0982.png,fruit,apple,fresh
0772.png,data/fruit/apple/FreshApple/0772.png,fruit,apple,fresh
0014.png,data/fruit/apple/FreshApple/0014.png,fruit,apple,fresh
0766.png,data/fruit/apple/FreshApple/0766.png,fruit,apple,fresh
0821.png,data/fruit/apple/FreshApple/0821.png,fruit,apple,fresh
0835.png,data/fruit/apple/FreshApple/0835.png,fruit,apple,fresh
0809.png,data/fruit/apple/FreshApple/0809.png,fruit,apple,fresh
0148.png,data/fruit/apple/FreshApple/0148.png,fruit,apple,fresh
0606.png,data/fruit/apple/FreshApple/0606.png,fruit,apple,fresh
0160.png,data/fruit/apple/FreshApple/0160.png,fruit,apple,fresh
0174.png,data/fruit/apple/FreshApple/0174.png,fruit,apple,fresh
0612.png,data/fruit/apple/FreshApple/0612.png,fruit,apple,fresh
0389.png,data/fruit/apple/FreshApple/0389.png,fruit,apple,fresh
0438.png,data/fruit/apple/FreshApple/0438.png,fruit,apple,fresh
0362.png,data/fruit/apple/FreshApple/0362.png,fruit,apple,fresh
0404.png,data/fruit/apple/FreshApple/0404.png,fruit,apple,fresh
0410.png,data/fruit/apple/FreshApple/0410.png,fruit,apple,fresh
0376.png,data/fruit/apple/FreshApple/0376.png,fruit,apple,fresh
0411.png,data/fruit/apple/FreshApple/0411.png,fruit,apple,fresh
0377.png,data/fruit/apple/FreshApple/0377.png,fruit,apple,fresh
0363.png,data/fruit/apple/FreshApple/0363.png,fruit,apple,fresh
0405.png,data/fruit/apple/FreshApple/0405.png,fruit,apple,fresh
0439.png,data/fruit/apple/FreshApple/0439.png,fruit,apple,fresh
0388.png,data/fruit/apple/FreshApple/0388.png,fruit,apple,fresh
0175.png,data/fruit/apple/FreshApple/0175.png,fruit,apple,fresh
0613.png,data/fruit/apple/FreshApple/0613.png,fruit,apple,fresh
0607.png,data/fruit/apple/FreshApple/0607.png,fruit,apple,fresh
0161.png,data/fruit/apple/FreshApple/0161.png,fruit,apple,fresh
